Device Category,Country,Date,Session
desktop,(not set),2019-11-30,2
desktop,(not set),2019-12-04,3
desktop,(not set),2019-12-08,2
desktop,(not set),2019-12-09,2
desktop,(not set),2019-12-11,3
desktop,(not set),2019-12-12,6
desktop,(not set),2019-12-13,25
desktop,(not set),2019-12-14,3
desktop,(not set),2019-12-16,1
desktop,(not set),2019-12-17,2
desktop,(not set),2019-12-18,7
desktop,(not set),2019-12-19,5
desktop,(not set),2019-12-20,16
desktop,(not set),2019-12-21,2
desktop,(not set),2019-12-23,4
desktop,(not set),2019-12-24,5
desktop,(not set),2019-12-25,6
desktop,(not set),2019-12-26,24
desktop,(not set),2019-12-27,30
desktop,(not set),2019-12-28,10
desktop,(not set),2019-12-30,18
desktop,(not set),2019-12-31,3
desktop,(not set),2020-01-01,10
desktop,(not set),2020-01-02,12
desktop,(not set),2020-01-03,9
desktop,(not set),2020-01-06,12
desktop,(not set),2020-01-07,1
desktop,(not set),2020-01-08,5
desktop,(not set),2020-01-10,2
desktop,(not set),2020-01-11,7
desktop,(not set),2020-01-12,4
desktop,(not set),2020-01-13,2
desktop,(not set),2020-01-15,2
desktop,(not set),2020-01-16,32
desktop,(not set),2020-01-18,5
desktop,(not set),2020-01-21,2
desktop,(not set),2020-01-22,8
desktop,(not set),2020-01-23,2
desktop,(not set),2020-01-28,2
desktop,(not set),2020-01-29,10
desktop,(not set),2020-01-30,8
desktop,(not set),2020-01-31,3
desktop,(not set),2020-02-04,2
desktop,(not set),2020-02-06,1
desktop,(not set),2020-02-10,2
desktop,(not set),2020-02-11,2
desktop,(not set),2020-02-12,6
desktop,(not set),2020-02-13,1
desktop,(not set),2020-02-15,11
desktop,(not set),2020-02-16,1
desktop,(not set),2020-02-20,2
desktop,(not set),2020-03-02,2
desktop,(not set),2020-03-05,2
desktop,(not set),2020-03-06,2
desktop,(not set),2020-03-07,15
desktop,(not set),2020-03-09,1
desktop,(not set),2020-03-10,2
desktop,(not set),2020-03-11,9
desktop,(not set),2020-03-14,2
desktop,(not set),2020-03-18,2
desktop,(not set),2020-03-21,2
desktop,(not set),2020-03-26,2
desktop,(not set),2020-03-29,1
desktop,(not set),2020-04-03,3
desktop,(not set),2020-04-11,1
desktop,(not set),2020-04-12,1
desktop,(not set),2020-04-13,3
desktop,(not set),2020-04-20,2
desktop,(not set),2020-04-29,1
desktop,(not set),2020-04-30,2
desktop,(not set),2020-05-01,1
desktop,(not set),2020-05-03,2
desktop,(not set),2020-05-04,2
desktop,(not set),2020-05-05,2
desktop,(not set),2020-05-06,3
desktop,(not set),2020-05-08,2
desktop,(not set),2020-05-16,1
desktop,(not set),2020-05-20,2
desktop,(not set),2020-05-23,1
desktop,(not set),2020-05-27,1
desktop,(not set),2020-05-31,1
desktop,(not set),2020-06-04,1
desktop,(not set),2020-06-08,1
desktop,(not set),2020-06-15,1
desktop,(not set),2020-06-16,1
desktop,(not set),2020-06-24,1
desktop,(not set),2020-06-29,2
desktop,(not set),2020-07-03,1
desktop,(not set),2020-07-06,1
desktop,(not set),2020-07-20,1
desktop,(not set),2020-08-01,1
desktop,(not set),2020-08-06,1
desktop,(not set),2020-08-30,2
desktop,(not set),2020-09-01,2
desktop,(not set),2020-09-07,2
desktop,(not set),2020-09-08,1
desktop,(not set),2020-09-17,1
desktop,(not set),2020-09-23,2
desktop,(not set),2020-09-26,2
desktop,(not set),2020-09-27,1
desktop,(not set),2020-09-29,1
desktop,(not set),2020-09-30,1
desktop,(not set),2020-10-03,1
desktop,(not set),2020-10-05,1
desktop,(not set),2020-10-07,1
desktop,(not set),2020-10-08,1
desktop,(not set),2020-10-09,1
desktop,(not set),2020-10-15,1
desktop,(not set),2020-10-20,1
desktop,(not set),2020-10-22,2
desktop,(not set),2020-10-24,2
desktop,(not set),2020-10-26,1
desktop,(not set),2020-11-07,1
desktop,(not set),2020-11-10,1
desktop,(not set),2020-11-11,2
desktop,(not set),2020-11-18,2
desktop,(not set),2020-11-26,1
desktop,(not set),2020-12-01,1
desktop,(not set),2020-12-02,2
desktop,(not set),2020-12-09,2
desktop,(not set),2020-12-15,1
desktop,(not set),2020-12-21,1
desktop,(not set),2020-12-22,1
desktop,(not set),2020-12-24,2
desktop,(not set),2021-01-04,2
desktop,(not set),2021-01-05,1
desktop,(not set),2021-01-08,1
desktop,(not set),2021-01-09,1
desktop,(not set),2021-01-10,1
desktop,(not set),2021-01-11,3
desktop,(not set),2021-01-12,1
desktop,(not set),2021-01-15,1
desktop,(not set),2021-01-16,1
desktop,(not set),2021-01-18,2
desktop,(not set),2021-01-19,1
desktop,(not set),2021-01-20,2
desktop,(not set),2021-01-22,1
desktop,(not set),2021-01-23,1
desktop,(not set),2021-01-27,2
desktop,(not set),2021-01-29,1
desktop,(not set),2021-01-31,1
desktop,(not set),2021-02-01,1
desktop,(not set),2021-02-02,2
desktop,(not set),2021-02-04,1
desktop,(not set),2021-02-08,1
desktop,(not set),2021-02-10,1
desktop,(not set),2021-02-12,1
desktop,(not set),2021-02-13,1
desktop,(not set),2021-02-15,1
desktop,(not set),2021-02-16,3
desktop,(not set),2021-02-22,3
desktop,(not set),2021-02-24,2
desktop,(not set),2021-02-28,2
desktop,Afghanistan,2020-02-21,1
desktop,Afghanistan,2021-01-07,1
desktop,Afghanistan,2021-02-11,5
desktop,Afghanistan,2021-02-12,7
desktop,Afghanistan,2021-02-13,6
desktop,Afghanistan,2021-02-14,9
desktop,Afghanistan,2021-02-15,5
desktop,Afghanistan,2021-02-16,4
desktop,Afghanistan,2021-02-17,2
desktop,Afghanistan,2021-02-18,1
desktop,Afghanistan,2021-02-22,2
desktop,Afghanistan,2021-02-26,1
desktop,Albania,2020-07-25,1
desktop,Albania,2020-11-01,1
desktop,Algeria,2019-08-28,1
desktop,Algeria,2020-04-22,1
desktop,Algeria,2020-05-13,1
desktop,Algeria,2020-06-08,1
desktop,Algeria,2020-09-05,1
desktop,Algeria,2020-09-15,1
desktop,Algeria,2020-09-17,1
desktop,Algeria,2020-09-19,1
desktop,Algeria,2020-10-20,1
desktop,Angola,2019-10-07,1
desktop,Angola,2020-01-08,1
desktop,Angola,2020-01-09,1
desktop,Angola,2020-07-03,1
desktop,Angola,2020-12-02,1
desktop,Angola,2020-12-03,1
desktop,Angola,2020-12-04,2
desktop,Angola,2020-12-05,1
desktop,Angola,2020-12-07,1
desktop,Angola,2020-12-08,1
