rank,prev_rank,name,league,off,def,spi
549,550,Lincoln City,English League One,0.7,1.9,20.12
550,551,Sagan Tosu,Japanese J League,0.57,1.68,20.0
551,549,Birmingham Legion FC,United Soccer League,0.72,1.95,19.81
552,545,Helsingborgs IF,Swedish Allsvenskan,0.72,1.96,19.72
553,556,Juve Stabia,Italy Serie B,0.76,2.03,19.68
554,567,Saint Louis FC,United Soccer League,0.69,1.91,19.66
555,557,Plymouth Argyle,English League Two,0.71,1.95,19.65
556,558,Perugia,Italy Serie B,0.62,1.8,19.52
557,559,Ascoli,Italy Serie B,0.73,2.0,19.41
558,560,Orléans,French Ligue 2,0.66,1.88,19.39
559,562,Blackpool,English League One,0.64,1.86,19.26
560,563,Milton Keynes Dons,English League One,0.62,1.82,19.21
561,564,Northampton Town,English League Two,0.71,2.0,19.03
562,565,Crewe Alexandra,English League Two,0.77,2.09,19.01
563,566,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
564,571,Falkenbergs FF,Swedish Allsvenskan,0.74,2.05,18.82
565,553,Kalmar FF,Swedish Allsvenskan,0.65,1.91,18.74
566,568,El Paso Locomotive FC,United Soccer League,0.6,1.86,18.24
567,569,Mjondalen,Norwegian Tippeligaen,0.61,1.89,18.14
568,552,Real Monarchs SLC,United Soccer League,0.77,2.17,18.07
569,570,Sandefjord,Norwegian Tippeligaen,0.7,2.06,17.89
570,561,Shonan Bellmare,Japanese J League,0.67,2.02,17.8
571,555,North Carolina FC,United Soccer League,0.68,2.06,17.63
572,572,Accrington Stanley,English League One,0.67,2.04,17.61
573,579,Yokohama FC,Japanese J League,0.65,2.01,17.55
574,573,Central Coast Mariners,Australian A-League,0.78,2.26,17.34
575,582,Charleston Battery,United Soccer League,0.62,1.97,17.29
576,574,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
577,575,IK Start,Norwegian Tippeligaen,0.65,2.08,16.7
578,576,Cheltenham Town,English League Two,0.47,1.79,16.06
579,578,Aalesund,Norwegian Tippeligaen,0.87,2.55,15.89
580,577,Charlotte Independence,United Soccer League,0.68,2.24,15.54
581,580,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
582,581,LA Galaxy II,United Soccer League,0.66,2.27,14.77
583,584,Salford City,English League Two,0.53,2.03,14.7
584,586,AFC Wimbledon,English League One,0.48,1.96,14.47
585,587,Colchester United,English League Two,0.5,2.0,14.37
586,588,Rochdale,English League One,0.59,2.2,14.25
587,590,Shrewsbury Town,English League One,0.44,1.9,14.11
588,583,San Diego Loyal SC,United Soccer League,0.49,2.01,14.07
589,591,Bristol Rovers,English League One,0.49,2.01,13.99
590,589,Hartford Athletic,United Soccer League,0.75,2.52,13.94
591,592,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
592,595,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
593,596,Portland Timbers 2,United Soccer League,0.79,2.66,13.38
594,597,Exeter City,English League Two,0.53,2.17,13.24
595,594,Tulsa Roughnecks,United Soccer League,0.53,2.19,13.13
596,598,Crawley Town,English League Two,0.49,2.13,12.85
597,599,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
598,600,Livorno,Italy Serie B,0.49,2.15,12.81
599,593,Tacoma Defiance,United Soccer League,0.68,2.52,12.69
600,606,Memphis 901 FC,United Soccer League,0.57,2.31,12.6
601,616,Las Vegas Lights FC,United Soccer League,0.53,2.25,12.57
602,601,Tranmere Rovers,English League One,0.51,2.23,12.43
603,602,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
604,603,Port Vale,English League Two,0.42,2.07,12.01
605,604,Bradford City,English League Two,0.42,2.07,12.01
606,605,New York Red Bulls II,United Soccer League,0.6,2.46,11.98
607,608,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
608,609,Mansfield Town,English League Two,0.54,2.35,11.73
609,585,Oklahoma City Energy FC,United Soccer League,0.5,2.27,11.71
610,607,Colorado Springs Switchbacks FC,United Soccer League,0.5,2.28,11.63
611,610,Oldham Athletic,English League Two,0.5,2.35,11.1
612,611,Southend United,English League One,0.62,2.62,10.98
613,612,Scunthorpe,English League Two,0.43,2.3,10.33
614,613,Forest Green Rovers,English League Two,0.37,2.16,10.24
615,614,Walsall,English League Two,0.4,2.26,9.99
616,620,Swope Park Rangers,United Soccer League,0.5,2.5,9.85
617,617,Bolton,English League One,0.38,2.25,9.8
618,618,Leyton Orient,English League Two,0.43,2.37,9.7
619,615,Loudoun United FC,United Soccer League,0.48,2.51,9.51
620,619,Grimsby Town,English League Two,0.38,2.28,9.49
621,621,Atlanta United 2,United Soccer League,0.49,2.62,8.96
622,622,Carlisle United,English League Two,0.28,2.31,7.65
623,623,Newport County,English League Two,0.2,2.11,7.51
624,624,Rio Grande Valley FC Toros,United Soccer League,0.29,2.38,7.31
625,625,Macclesfield,English League Two,0.2,2.27,6.56
626,626,Cambridge United,English League Two,0.2,2.29,6.42
627,627,Stevenage,English League Two,0.2,2.3,6.39
628,628,Morecambe,English League Two,0.2,2.4,5.85
629,629,Bethlehem Steel FC,United Soccer League,0.36,2.94,5.46
