rank,prev_rank,name,league,off,def,spi
253,255,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.31,1.39,43.74
254,254,Arizona United,United Soccer League,1.62,1.75,43.6
255,256,Birmingham,English League Championship,1.32,1.41,43.52
256,257,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.34,1.44,43.5
257,260,Lorient,French Ligue 2,1.28,1.39,43.35
258,261,Arminia Bielefeld,German 2. Bundesliga,1.22,1.32,43.29
259,262,Moreirense,Portuguese Liga,1.22,1.31,43.28
260,284,Tijuana,Mexican Primera Division Torneo Apertura,1.22,1.32,43.21
261,297,Terek Grozny,Russian Premier Liga,1.16,1.26,43.15
262,276,Columbus Crew,Major League Soccer,1.18,1.28,43.09
263,263,Reading,English League Championship,1.24,1.35,43.04
264,264,Argentinos Juniors,Argentina Primera Division,1.0,1.08,42.87
265,267,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
266,265,Inter Miami CF,Major League Soccer,1.29,1.42,42.71
267,268,FC Groningen,Dutch Eredivisie,0.93,1.01,42.7
268,259,Atlanta United FC,Major League Soccer,1.26,1.39,42.7
269,302,Ural Sverdlovsk Oblast,Russian Premier Liga,1.23,1.35,42.7
270,272,Sporting Kansas City,Major League Soccer,1.41,1.57,42.62
271,269,Estudiantes,Argentina Primera Division,1.0,1.1,42.6
272,239,FC Tambov,Russian Premier Liga,1.19,1.32,42.48
273,271,Heerenveen,Dutch Eredivisie,1.51,1.69,42.37
274,292,Los Angeles Galaxy,Major League Soccer,1.62,1.81,42.32
275,247,Hammarby,Swedish Allsvenskan,1.44,1.62,42.16
276,273,KV Mechelen,Belgian Jupiler League,1.34,1.51,42.09
277,274,KV Kortrijk,Belgian Jupiler League,1.29,1.46,42.02
278,275,Maritimo,Portuguese Liga,1.07,1.2,42.02
279,295,Necaxa,Mexican Primera Division Torneo Apertura,1.19,1.34,41.9
280,277,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
281,278,Hannover 96,German 2. Bundesliga,1.3,1.48,41.7
282,258,Goiás,Brasileiro Série A,1.23,1.4,41.65
283,282,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
284,293,Sport Recife,Brasileiro Série A,1.16,1.33,41.36
285,283,Sparta,Dutch Eredivisie,1.47,1.69,41.33
286,285,Rayo Vallecano,Spanish Segunda Division,1.27,1.47,41.28
287,286,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
288,305,Botafogo,Brasileiro Série A,1.11,1.29,41.18
289,279,Cerezo Osaka,Japanese J League,1.05,1.22,41.18
290,289,FC Luzern,Swiss Raiffeisen Super League,1.29,1.5,40.97
291,290,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
292,288,BK Hacken,Swedish Allsvenskan,1.28,1.49,40.92
293,296,Boavista,Portuguese Liga,0.98,1.15,40.79
294,332,Querétaro,Mexican Primera Division Torneo Apertura,1.14,1.35,40.69
295,298,Hamburg SV,German 2. Bundesliga,1.33,1.58,40.49
296,323,Toluca,Mexican Primera Division Torneo Apertura,1.32,1.56,40.48
297,299,Goztepe,Turkish Turkcell Super Lig,1.28,1.52,40.47
298,333,FC Tokyo,Japanese J League,1.18,1.4,40.42
299,280,Atlético Goianiense,Brasileiro Série A,1.13,1.34,40.41
300,300,Patronato,Argentina Primera Division,1.2,1.43,40.35
301,291,Minnesota United FC,Major League Soccer,1.31,1.56,40.34
302,301,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
303,303,Mouscron-Peruwelz,Belgian Jupiler League,1.19,1.42,40.27
304,270,Kashima Antlers,Japanese J League,1.19,1.42,40.27
305,304,San Jose Earthquakes,Major League Soccer,1.47,1.75,40.1
306,306,SD Huesca,Spanish Segunda Division,1.09,1.32,39.94
307,309,Hartberg,Austrian T-Mobile Bundesliga,1.56,1.87,39.85
308,310,Lens,French Ligue 2,1.02,1.23,39.84
309,294,Chicago Fire,Major League Soccer,1.32,1.6,39.7
310,311,Banfield,Argentina Primera Division,0.98,1.2,39.66
311,308,Girona FC,Spanish Segunda Division,0.96,1.18,39.66
312,327,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.2,1.46,39.65
313,312,Guingamp,French Ligue 2,1.19,1.46,39.62
